ImageId,Label
1,0
2,0
3,8
4,7
5,2
6,3
7,0
8,3
9,0
10,3
11,5
12,2
13,4
14,0
15,4
16,0
17,2
18,1
19,4
20,0
21,4
22,1
23,1
24,0
25,3
26,4
27,2
28,3
29,1
30,2
31,2
32,5
33,4
34,1
35,2
36,2
37,0
38,5
39,1
40,0
41,7
42,3
43,4
44,4
45,8
46,3
47,3
48,2
49,6
50,1
51,6
52,8
53,1
54,3
55,8
56,2
57,1
58,2
59,2
60,0
61,4
62,1
63,7
64,0
65,0
66,0
67,1
68,4
69,0
70,1
71,6
72,5
73,3
74,8
75,2
76,8
77,3
78,3
79,2
80,2
81,5
82,4
83,1
84,0
85,4
86,1
87,4
88,2
89,2
90,0
91,1
92,0
93,6
94,6
95,1
96,4
97,3
98,8
99,3
100,4
101,0
102,3
103,2
104,0
105,4
106,3
107,0
108,5
109,0
110,3
111,0
112,0
113,4
114,7
115,1
116,2
117,1
118,1
119,3
120,3
121,3
122,3
123,2
124,1
125,2
126,3
127,3
128,3
129,1
130,4
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,4
142,3
143,4
144,5
145,5
146,8
147,3
148,3
149,1
150,8
151,4
152,3
153,5
154,6
155,3
156,1
157,3
158,3
159,3
160,8
161,3
162,0
163,4
164,5
165,1
166,2
167,7
168,2
169,3
170,0
171,0
172,3
173,3
174,2
175,1
176,2
177,2
178,4
179,1
180,2
181,4
182,2
183,3
184,2
185,4
186,4
187,1
188,1
189,6
190,0
191,6
192,1
193,4
194,4
195,6
196,0
197,4
198,3
199,0
200,4
201,1
202,4
203,0
204,1
205,8
206,0
207,8
208,4
209,6
210,2
211,0
212,3
213,3
214,2
215,2
216,2
217,1
218,6
219,2
220,4
221,2
222,3
223,1
224,0
225,1
226,0
227,4
228,6
229,1
230,0
231,0
232,4
233,7
234,1
235,2
236,2
237,2
238,2
239,3
240,2
241,8
242,2
243,1
244,3
245,5
246,5
247,4
248,3
249,3
250,8
251,4
252,3
253,1
254,3
255,8
256,4
257,3
258,1
259,4
260,2
261,2
262,3
263,2
264,3
265,3
266,0
267,2
268,8
269,3
270,1
271,6
272,0
273,6
274,3
275,8
276,8
277,1
278,5
279,8
